-0.368905,-0.0380254,0.626518
-0.299032,0.241931,0.65762
0.260203,0.332657,0.761987
0.580807,0.120289,1.39963
-0.0360705,-0.130747,0.380453
-0.0874581,0.235769,1.7548
-0.282619,0.0918841,0.693663
0.134499,-0.135199,0.393179
0.391844,-0.0174651,0.874841
0.0612581,-0.0240127,0.722254
-0.270839,0.345827,0.838239
-0.142124,0.505679,1.55271
0.694176,0.054467,1.22765
0.25976,0.0451641,0.894779
-0.121492,-0.0775692,0.586357
-0.277381,0.00664612,0.868867
-0.289424,-0.0799217,0.634499
0.100526,0.205799,1.26637
0.030683,0.192242,1.69094
0.0124327,-0.062328,0.61963
0.0495452,-0.0770031,0.593627
-0.274101,0.154542,0.49932
-0.0221343,0.306763,1.70855
0.0509995,-0.0950393,0.546733
0.126819,-0.092133,0.535069
0.282816,0.323684,0.918747
0.26947,0.345019,1.00524
-0.306582,0.151294,0.584602
-0.284005,0.141369,0.615722
-0.31145,0.129694,0.60377
-0.29089,0.118086,0.619855
0.109579,0.0753115,1.18347
-0.229075,-0.0563267,0.659287
-0.233859,-0.0255096,0.639099
-0.164992,-0.129925,0.36677
0.128511,0.425933,1.26642
0.170133,0.300196,1.03583
0.219923,0.330235,1.02035
-0.202231,-0.0970674,0.537296
0.208432,-0.0716787,0.600005
0.0523893,-0.130622,0.369677
0.504322,-0.0136897,0.936148
0.259852,-0.00402719,0.842447
-0.29262,0.20815,0.650305
0.0269962,-0.107069,0.475007
-0.00688183,-0.0641047,0.626521
-0.202956,0.0377249,0.972586
0.0440917,0.030761,1.03565
-0.0745528,0.432847,1.6686
0.127624,0.434663,1.19356
0.378045,0.240937,0.901883
0.113269,0.0218044,0.957975
0.303173,0.188111,1.26002
0.228683,0.374738,1.00574
0.120767,-0.0384092,0.731586
0.091889,-0.0750842,0.599318
0.0763993,-0.0766389,0.598467
0.228836,0.235509,1.065
0.222769,0.248038,1.30539
0.0602074,-0.0916573,0.525727
-0.126667,-0.0238708,0.804946
-0.156494,-0.0261821,0.816085
-0.149878,-0.0394234,0.739633
0.206602,0.3112,1.65986
0.114702,0.13365,1.47343
-0.197699,-0.0320187,0.666581
0.188491,0.30261,1.21566
-0.210293,0.179201,1.61464
-0.280275,0.1149,0.479788
-0.310619,0.129388,0.558691
-0.340565,0.399896,1.62514
-0.397578,0.442076,1.57755
-0.484473,0.239567,1.72093
-0.378152,0.494824,1.59021
-0.603965,0.39783,1.48914
-1.03882,0.277918,1.13138
-0.586976,0.392567,1.10692
-0.883417,0.249666,0.831181
-1.00068,0.0175349,0.904688
-0.606312,0.320443,1.54709
-0.613775,0.382071,1.51847
-0.191637,0.550833,1.45706
-0.144692,0.177629,1.672
-1.23277,0.115024,0.974673
-0.40034,0.441274,1.61207
-0.400008,0.454762,1.67811
-0.601258,0.322062,1.52682
-0.716975,0.466356,1.62483
-0.609315,0.367068,1.49756
-0.390924,0.498246,1.60069
-0.683849,0.510039,1.57824
0.251862,0.112792,1.51315
3.72807,-0.0536812,1.63689
-0.615505,0.389101,1.5197
-0.263736,0.54401,1.51339
-0.273798,0.545626,1.47972
0.487873,0.506601,1.31022
